         289138062 function calls (289131433 primitive calls) in 1618.524 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 1111.520 1111.520 1262.704 1262.704 linalg.py:110(point_descent)
        2  180.066   90.033 1618.531  809.265 main.py:1(<module>)
    461/4    0.000    0.000    0.446    0.112 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      290    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       97    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:483(__init__)
      137    0.000    0.000    0.001    0.000 posixpath.py:75(join)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
      186    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      476    0.000    0.000    0.018    0.000 re.py:180(search)
     1338    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     2586    0.000    0.000    0.000    0.000 inspect.py:2527(kind)
       39    0.000    0.000    0.001    0.000 _inspect.py:142(formatargspec)
     72/4    0.000    0.000    0.002    0.000 pyparsing.py:1700(_parseCache)
     1999    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      790    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      150    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
      519    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       27    0.000    0.000    0.282    0.010 linalg.py:33(norm_euclid)
        1    0.000    0.000    0.016    0.016 numeric.py:1(<module>)
      352    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      335    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      331    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
       19    0.000    0.000    0.007    0.000 rcsetup.py:825(validate_cycler)
      117    0.000    0.000    0.005    0.000 rcsetup.py:90(<listcomp>)
      365    0.000    0.000    0.000    0.000 rcsetup.py:118(validate_bool)
      185    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       23    0.000    0.000    0.002    0.000 traceback.py:318(extract)
      714    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
       67    0.000    0.000    0.001    0.000 pyparsing.py:3690(__init__)
      576    0.000    0.000    0.001    0.000 <string>:1(__new__)
        6    0.000    0.000    0.004    0.001 patches.py:1830(_pprint_styles)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
        1    0.000    0.000    0.004    0.004 numerictypes.py:81(<module>)
      240    0.000    0.000    0.000    0.000 functools.py:67(wraps)
      344    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.042    0.042 pyplot.py:19(<module>)
        1    0.000    0.000    0.002    0.002 getlimits.py:96(_register_known_types)
        6    0.000    0.000    0.002    0.000 getlimits.py:37(__init__)
   121/59    0.000    0.000    0.004    0.000 pyparsing.py:3661(copy)
      177    0.000    0.000    0.006    0.000 rcsetup.py:69(f)
       14    0.000    0.000    0.006    0.000 enum.py:388(_create_)
       28    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      341    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 {built-in method gc.collect}
       54    0.000    0.000    0.001    0.000 __init__.py:961(_open_file_or_url)
       65    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
     1828    0.000    0.000    0.000    0.000 inspect.py:2519(default)
      886    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
      429    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
        1    0.000    0.000    0.144    0.144 __init__.py:106(<module>)
      352    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
     2373    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
     1996    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      150    0.000    0.000    0.012    0.000 cm.py:81(_generate_cmap)
      335    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      252    0.000    0.000    0.000    0.000 {built-in method numpy.can_cast}
      164    0.000    0.000    0.000    0.000 colors.py:439(__init__)
       98    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
    60/17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      616    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      782    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      327    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
      151    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.024    0.024 pyparsing.py:94(<module>)
      708    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    63/11    0.000    0.000    0.004    0.000 pyparsing.py:3702(parseImpl)
      432    0.000    0.000    0.000    0.000 colors.py:204(<genexpr>)
     1274    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.005    0.005 mathtext.py:2738(<listcomp>)
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      185    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
      170    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       42    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 _color_data.py:992(<dictcomp>)
      370    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       33    0.000    0.000    0.000    0.000 posixpath.py:331(normpath)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
      667    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      108    0.000    0.000    0.001    0.000 deprecation.py:237(finalize)
       60    0.000    0.000    0.001    0.000 fromnumeric.py:69(_wrapreduction)
      341    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        2    0.000    0.000    0.003    0.001 function_base.py:1(<module>)
     1307    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.005    0.005 _add_newdocs.py:10(<module>)
      130    0.000    0.000    0.001    0.000 pyplot.py:1795(<genexpr>)
      410    0.000    0.000    0.000    0.000 artist.py:1235(aliased_name)
       66    0.000    0.000    0.001    0.000 pyparsing.py:4047(__init__)
        1    0.000    0.000    0.008    0.008 _axes.py:119(Axes)
        1    0.000    0.000    0.033    0.033 rcsetup.py:15(<module>)
      185    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      136    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
       19    0.000    0.000    0.001    0.000 path.py:96(__init__)
       51    0.000    0.000    0.000    0.000 _internal.py:840(_ufunc_doc_signature_formatter)
